1,2,3,4,5,6,7,8,9,10
F,F,F,E,E,D,A,A,A,A
A,F,F,E,E,D,A,A,A,A
B,F,F,E,E,D,A,A,A,A
C,F,F,E,E,D,A,A,A,A
D,F,F,E,E,D,A,A,A,A
E,F,F,E,E,D,A,A,A,A
A,F,F,E,E,D,A,A,A,A
B,F,F,E,E,D,A,A,A,A
C,F,F,E,E,D,A,A,A,A
D,F,F,E,E,D,A,A,A,A
